Fast Food Name,ZipCode,State
Wendy's,92395,CA
Baker's Drive Thru,92399,CA
Del Taco,92404,CA
Burger King,92404,CA
Burger King,92407,CA
Taco Bell,92407,CA
Baker's Drive Thru,92407,CA
Burger King,92408,CA
Jack in the Box,92501,CA
McDonald's,92503,CA
Jack in the Box,92504,CA
Burger King,92507,CA
Del Taco,92508,CA
Wienerschnitzel,92530,CA
Del Taco,92545,CA
Carl's Jr.,92551,CA
El Pollo Loco,92553,CA
Taco Bell,92553,CA
Jack in the Box,92557,CA
Carl's Jr.,92562,CA
Jack in the Box,92571,CA
Jack in the Box,92590,CA
Taco Bell,92606,CA
Del Taco,92610,CA
Domino's Pizza,92612,CA
Wienerschnitzel,92618,CA
Wienerschnitzel,92626,CA
Panda Express,92626,CA
Five Guys,92626,CA
Wienerschnitzel,92627,CA
Baja Fresh,92630,CA
KFC,92630,CA
El Pollo Loco,92647,CA
Baja Fresh Mexican Grill,92648,CA
Carl's Jr.,92648,CA
McDonald's,92660,CA
Quiznos,92660,CA
Burger King,92660,CA
Carl's Jr.,92660,CA
Taco Bell,92663,CA
Jack in the Box,92663,CA
Baja Fresh Mexican Grill,92673,CA
El Pollo Loco,92675,CA
Carl's Jr.,92677,CA
SUBWAY,92683,CA
Popeyes Louisiana Kitchen,92683,CA
Carl's Jr.,92683,CA
KFC,92688,CA
SONIC Drive In,92691,CA
McDonald's,92704,CA
KFC,92704,CA
McDonald's,92704,CA
McDonald's,92705,CA
Taco Bell,92705,CA
Del Taco,92705,CA
Carl's Jr.,92705,CA
Subway Sandwiches,92705,CA
Burger King,92705,CA
Round Table Pizza,92780,CA
Subway,92780,CA
China King,92801,CA
Jollibee,92801,CA
Subway,92801,CA
Carl's Jr.,92801,CA
Subway,92801,CA
KFC,92802,CA
Taco Bell,92804,CA
McDonald's,92804,CA
Taco Bell,92804,CA
Subway,92805,CA
Del Taco,92805,CA
Carl's Jr / Green Burrito,92806,CA
Carl's Jr.,92807,CA
Pizza Hut,92831,CA
Domino's Pizza,92833,CA
Burger King,92833,CA
Carls Jr. / Green Burrito,92841,CA
Carl's Jr.,92860,CA
Omega Drive-In,92866,CA
Subway,92868,CA
McDonald's,92869,CA
Jack in the Box,92869,CA
McDonald's,92870,CA
Jack in the Box,92870,CA
Wendy's,92879,CA
In-N-Out Burger,92881,CA
Subway,92886,CA
Del Taco,92886,CA
KFC,92886,CA
Burger King,93001,CA
Jimmy John's,93003,CA
McDonald's,93030,CA
Burger King,93033,CA
Jack in the Box,93060,CA
Taco Bell,93109,CA
Domino's Pizza,93117,CA
Burger King,93203,CA
Taco Bell,93239,CA
Jack in the Box,93239,CA
McDonald's,93243,CA
McDonald's,93245,CA
Burger King,93247,CA
Taco Bell,93247,CA
Jack in the Box,93257,CA
Del Taco,93263,CA
Jack in the Box,93280,CA
Wendy's,93292,CA
Taco Bell,93307,CA
Carl's Jr - Green Burrito,93308,CA
El Pollo Loco,93309,CA
Chick-fil-A,93309,CA
Carl's Jr.,93309,CA
