RecordID,ZipCode,ZipCodePlus4,State,Latitude,Longitude,FIPSCode,CensusKey,CensusKeyDecennial
1,92688,8745,CA,33.580368,-117.626074,06059,060590320654006,060590320654006
2,92688,8743,CA,33.580382,-117.627588,06059,060590320654006,060590320654006
3,92688,8751,CA,33.580619,-117.630842,06059,060590320654006,060590320654006
4,92688,8714,CA,33.580853,-117.626447,06059,060590320654006,060590320654006
5,92688,8744,CA,33.580983,-117.625671,06059,060590320654006,060590320654006
6,92688,8753,CA,33.581221,-117.631131,06059,060590320572000,060590320572000
7,92688,8716,CA,33.581232,-117.627423,06059,060590320654006,060590320654006
8,92688,8739,CA,33.581455,-117.628482,06059,060590320654006,060590320654006
9,92688,8740,CA,33.581746,-117.621950,06059,060590320654006,060590320654006
10,92688,5596,CA,33.581750,-117.632312,06059,060590320572002,060590320572002
11,92688,5597,CA,33.581750,-117.632312,06059,060590320572002,060590320572002
12,92688,6504,CA,33.581750,-117.632312,06059,060590320572002,060590320572002
13,92688,5505,CA,33.581777,-117.631760,06059,060590320572002,060590320572002
14,92688,8700,CA,33.581795,-117.623556,06059,060590320654006,060590320654006
15,92688,8717,CA,33.581814,-117.626844,06059,060590320654006,060590320654006
16,92688,8738,CA,33.582006,-117.628330,06059,060590320654006,060590320654006
17,92688,8748,CA,33.582249,-117.625191,06059,060590320654013,060590320654013
18,92688,8742,CA,33.582538,-117.624523,06059,060590320654013,060590320654013
19,92688,5540,CA,33.582897,-117.631534,06059,060590320572002,060590320572002
20,92688,5598,CA,33.583031,-117.632704,06059,060590320572002,060590320572002
21,92688,5599,CA,33.583031,-117.632704,06059,060590320572002,060590320572002
22,92688,5595,CA,33.583031,-117.632704,06059,060590320572002,060590320572002
23,92688,8750,CA,33.583109,-117.628424,06059,060590320654006,060590320654006
24,92688,8722,CA,33.583114,-117.621430,06059,060590320654006,060590320654006
25,92688,8729,CA,33.583131,-117.623920,06059,060590320654013,060590320654013
26,92688,8709,CA,33.583161,-117.622551,06059,060590320654012,060590320654012
27,92688,6502,CA,33.583167,-117.630293,06059,060590320654006,060590320654006
28,92688,8723,CA,33.583203,-117.621952,06059,060590320654012,060590320654012
29,92688,8719,CA,33.583210,-117.626467,06059,060590320654018,060590320654018
30,92688,8710,CA,33.583293,-117.623016,06059,060590320654012,060590320654012
31,92688,8726,CA,33.583353,-117.624583,06059,060590320654010,060590320654010
32,92688,8749,CA,33.583353,-117.624583,06059,060590320654010,060590320654010
33,92688,8741,CA,33.583353,-117.624583,06059,060590320654010,060590320654010
34,92688,8737,CA,33.583372,-117.627172,06059,060590320654010,060590320654010
35,92688,5537,CA,33.583423,-117.632454,06059,060590320572002,060590320572002
36,92688,8728,CA,33.583524,-117.624405,06059,060590320654010,060590320654010
37,92688,8727,CA,33.583776,-117.624318,06059,060590320654010,060590320654010
38,92688,8718,CA,33.583786,-117.625198,06059,060590320654010,060590320654010
39,92688,8720,CA,33.583790,-117.626119,06059,060590320654018,060590320654018
40,92688,8715,CA,33.583793,-117.623573,06059,060590320654013,060590320654013
41,92688,8713,CA,33.583972,-117.626475,06059,060590320654018,060590320654018
42,92688,8721,CA,33.584173,-117.622391,06059,060590320654012,060590320654012
43,92688,8712,CA,33.584283,-117.626551,06059,060590320654010,060590320654010
44,92688,8725,CA,33.584373,-117.624168,06059,060590320654010,060590320654010
45,92688,5590,CA,33.584401,-117.631805,06059,060590320534009,060590320534009
46,92688,8724,CA,33.584621,-117.623703,06059,060590320654010,060590320654010
47,92688,8704,CA,33.584655,-117.620989,06059,060590320654006,060590320654006
48,92688,5589,CA,33.584705,-117.631553,06059,060590320534009,060590320534009
49,92688,8735,CA,33.584757,-117.624242,06059,060590320654010,060590320654010
50,92688,8734,CA,33.584862,-117.624795,06059,060590320654010,060590320654010
51,92688,5588,CA,33.585022,-117.631420,06059,060590320534009,060590320534009
52,92688,8733,CA,33.585148,-117.625191,06059,060590320654010,060590320654010
53,92688,5587,CA,33.585153,-117.631318,06059,060590320534009,060590320534009
54,92688,8711,CA,33.585155,-117.622120,06059,060590320654008,060590320654008
55,92688,8736,CA,33.585221,-117.623912,06059,060590320654010,060590320654010
56,92688,8708,CA,33.585257,-117.622603,06059,060590320654012,060590320654012
57,92688,8732,CA,33.585325,-117.623652,06059,060590320654010,060590320654010
58,92688,8703,CA,33.585356,-117.621685,06059,060590320654008,060590320654008
59,92688,5586,CA,33.585394,-117.631077,06059,060590320534009,060590320534009
60,92688,5585,CA,33.585505,-117.630783,06059,060590320534009,060590320534009
61,92688,8730,CA,33.585555,-117.623304,06059,060590320654010,060590320654010
62,92688,5541,CA,33.585686,-117.628398,06059,060590320653005,060590320653005
63,92688,5584,CA,33.585718,-117.630561,06059,060590320534012,060590320534012
64,92688,8731,CA,33.585739,-117.624345,06059,060590320654010,060590320654010
65,92688,6503,CA,33.585782,-117.613251,06059,060590320654009,060590320654009
66,92688,8747,CA,33.585977,-117.622347,06059,060590320654008,060590320654008
67,92688,8706,CA,33.585991,-117.621042,06059,060590320654006,060590320654006
68,92688,5583,CA,33.586009,-117.630565,06059,060590320534009,060590320534009
69,92688,8707,CA,33.586198,-117.622922,06059,060590320654006,060590320654006
70,92688,5574,CA,33.586256,-117.630502,06059,060590320534009,060590320534009
71,92688,8705,CA,33.586411,-117.621419,06059,060590320654006,060590320654006
72,92688,8702,CA,33.586416,-117.622151,06059,060590320654008,060590320654008
73,92688,5582,CA,33.586527,-117.630430,06059,060590320534009,060590320534009
74,92688,8746,CA,33.586677,-117.622836,06059,060590320654006,060590320654006
75,92688,5581,CA,33.586846,-117.630447,06059,060590320534009,060590320534009
76,92688,8701,CA,33.586889,-117.621963,06059,060590320654006,060590320654006
77,92688,5580,CA,33.586933,-117.630747,06059,060590320534009,060590320534009
78,92688,5569,CA,33.586937,-117.625546,06059,060590320653005,060590320653005
79,92688,5568,CA,33.587088,-117.626418,06059,060590320653007,060590320653007
80,92688,5592,CA,33.587108,-117.625942,06059,060590320653007,060590320653007
81,92688,5579,CA,33.587162,-117.630958,06059,060590320534012,060590320534012
82,92688,5577,CA,33.587197,-117.630916,06059,060590320534012,060590320534012
83,92688,5567,CA,33.587230,-117.626691,06059,060590320653007,060590320653007
84,92688,5543,CA,33.587533,-117.625134,06059,060590320653005,060590320653005
85,92688,5539,CA,33.587615,-117.624638,06059,060590320653005,060590320653005
86,92688,5576,CA,33.587751,-117.630725,06059,060590320534012,060590320534012
87,92688,5544,CA,33.587761,-117.623434,06059,060590320653001,060590320653001
88,92688,5591,CA,33.587926,-117.630870,06059,060590320534009,060590320534009
89,92688,5570,CA,33.587980,-117.629716,06059,060590320534009,060590320534009
90,92688,5571,CA,33.588048,-117.630054,06059,060590320534012,060590320534012
91,92688,5545,CA,33.588091,-117.622554,06059,060590320653001,060590320653001
92,92688,5573,CA,33.588116,-117.630308,06059,060590320534012,060590320534012
93,92688,5575,CA,33.588174,-117.630554,06059,060590320534012,060590320534012
94,92688,5546,CA,33.588264,-117.621258,06059,060590320653001,060590320653001
95,92688,5594,CA,33.588410,-117.625749,06059,060590320653005,060590320653005
96,92688,5578,CA,33.588690,-117.626926,06059,060590320653005,060590320653005
97,92688,5572,CA,33.588999,-117.627114,06059,060590320653006,060590320653006
98,92688,5566,CA,33.589067,-117.627339,06059,060590320653006,060590320653006
99,92688,5564,CA,33.589108,-117.629921,06059,060590320534009,060590320534009
100,92688,5553,CA,33.589332,-117.621655,06059,060590320653004,060590320653004
101,92688,5565,CA,33.589370,-117.627530,06059,060590320653005,060590320653005
102,92688,5554,CA,33.589719,-117.622308,06059,060590320653004,060590320653004
103,92688,5559,CA,33.589810,-117.621054,06059,060590320653004,060590320653004
104,92688,5556,CA,33.589829,-117.623558,06059,060590320653004,060590320653004
105,92688,5542,CA,33.589851,-117.625168,06059,060590320653005,060590320653005
106,92688,5538,CA,33.589928,-117.624581,06059,060590320653005,060590320653005
107,92688,5534,CA,33.590215,-117.628660,06059,060590320534011,060590320534011
108,92688,5536,CA,33.590215,-117.628660,06059,060590320534011,060590320534011
109,92688,5523,CA,33.590215,-117.628660,06059,060590320534011,060590320534011
110,92688,5524,CA,33.590215,-117.628660,06059,060590320534011,060590320534011
111,92688,5525,CA,33.590215,-117.628660,06059,060590320534011,060590320534011
112,92688,5557,CA,33.590215,-117.628660,06059,060590320534011,060590320534011
113,92688,5552,CA,33.590243,-117.620843,06059,060590320653001,060590320653001
114,92688,5535,CA,33.590969,-117.628136,06059,060590320534009,060590320534009
