CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
6059001101,California,Orange County,1,4523,1467,0,32.0,0.7074950254256025,0,0,0,0,0,0,3.1466455570948,107981.0,0,1,0,1,0,0,0,0,,553.642626183108,,,98.6183940023184,,553.642626183108,12.240606371503599,98.6183940023184,2.1803757241282002,136.797029000241,3.02447554720852,56.7973699155264,1.2557455210154,337.124462714419,7.45355875999157,17.3459981817286,0.383506482019205,42.4453210171778,0.938432921007689,0.535325142089278,0.0118356210941693,7.01681872690097,0.155136385737364,149.174690958927,3.29813599290134,280.294798614457,6.19709923976249,0.0879164412617683,0.00599294078130664,6.02887720747094,0.410966408143895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,1122.0,573.0,3274.0,65.0,198.0,2.0,34.0,950.0,2072.0,10.0,49.0
6059001102,California,Orange County,1,3144,1063,0,11.0,0.34987277353689566,0,0,0,0,0,0,7.64407285756942,88636.0,0,1,0,1,0,0,0,0,,1492.79924592376,,,297.776222743094,,1492.79924592376,47.480892045921,297.776222743094,9.47125390404243,317.286920800805,10.0918231806872,155.883609030396,4.95813005821869,937.898907214403,29.8313901785752,10.7126812711358,0.34073413712264,211.631639435887,6.73128624159947,2.96192428527866,0.0942087876997028,27.5538893300109,0.876395971056325,302.040197193623,9.60687650106942,621.792665846646,19.7771204149697,3.65601159259677,0.34393335772312,17.6545531821903,1.6608234414101901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.0,754.0,346.0,2074.0,32.0,298.0,3.0,41.0,696.0,1452.0,19.0,36.0
6059001103,California,Orange County,1,4489,1384,0,249.0,5.546892403653375,0,0,0,0,0,0,13.2441471571906,80000.0,0,1,0,1,0,0,0,0,,1423.05647271872,,,443.61385551095,,1423.05647271872,31.700968427683602,443.61385551095,9.88224227023725,346.880144499242,7.727336700807361,221.896969094872,4.94312695689179,932.143875539303,20.7650673989597,11.9829162247479,0.266939546107104,94.4895227700472,2.1049125143695098,11.585598484613,0.258088627413968,22.5525957904756,0.502396876597808,350.301956042647,7.803563288987469,814.846238166094,18.1520658981086,7.54607678484172,0.545236761910529,48.0508424565196,3.47188168038436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.0,1198.0,602.0,2813.0,58.0,221.0,17.0,44.0,1336.0,2753.0,21.0,150.0
6059001201,California,Orange County,1,5505,1412,0,12.0,0.21798365122615804,0,1,0,0,0,1,20.1110532708659,59696.0,0,1,0,1,0,0,0,0,,3582.09122592211,,,1763.66152824461,,3582.09122592211,65.06977703764049,1763.66152824461,32.0374482878222,1249.28334261477,22.6936120365989,203.709563449025,3.70044620252543,1732.48612004519,31.471137512174103,82.4175540022552,1.49713994554505,130.355978678912,2.3679560159657003,2.28143768222071,0.041443009667951204,38.9166317284107,0.7069324564652271,1595.63355353475,28.9851690015394,2959.5207644105,53.760595175485804,63.566845331341,4.5019012274320795,148.260306518525,10.5000217081108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484.0,1874.0,319.0,2744.0,143.0,206.0,4.0,49.0,2359.0,4439.0,87.0,231.0
6059001202,California,Orange County,1,3586,912,0,0.0,0.0,0,1,0,0,0,1,13.813651137594801,64135.0,0,1,0,1,0,0,0,0,,1878.69888330095,,,824.188562959382,,1878.69888330095,52.3898182738691,824.188562959382,22.983507054082,597.600831169322,16.6648307632271,145.923441340182,4.06925380201288,950.156709253864,26.4962830243688,32.722006152384,0.912493200010708,58.7868831657106,1.63934420428641,0.0548722222447395,0.0015301790921567098,22.8670317754149,0.6376751749976279,814.11137529205,22.7024923394325,1478.53897658019,41.2308693971051,32.7985976703719,3.5963374638565604,71.8407817235352,7.87727869775605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.0,1185.0,283.0,1816.0,52.0,132.0,1.0,34.0,1551.0,2868.0,51.0,137.0
6059001301,California,Orange County,1,6423,2489,0,6.0,0.09341429238673517,0,0,0,0,0,0,10.733876945885799,84056.0,0,1,0,1,0,0,0,0,,1749.08606952243,,,199.332124339038,,1749.08606952243,27.231606251322198,199.332124339038,3.10341155751266,416.037776652491,6.4773124186905005,209.871403291123,3.26749810510856,1129.1987396162,17.580550204206798,29.1873708114726,0.454419598497161,172.240915127564,2.68162720111419,5.83418312994763,0.0908326814564477,24.3492974997498,0.379095399342205,388.275573467836,6.04508132442528,774.10401034914,12.0520630600831,26.0753659454786,1.04762418422975,30.0260220347554,1.20634881618142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1821.0,1350.0,692.0,4153.0,166.0,706.0,20.0,54.0,1324.0,2668.0,32.0,130.0
6059001303,California,Orange County,1,5752,1821,0,5.0,0.08692628650904034,0,0,0,0,0,0,9.8156367360874,79023.0,0,1,0,1,0,0,0,0,,2882.75226062536,,,898.497533712536,,2882.75226062536,50.1173897883408,898.497533712536,15.620610808632401,825.100894447416,14.3445913499203,243.028567040339,4.225114169686011,1700.74888424948,29.5679569584402,28.2842262061313,0.491728550176135,153.292974002776,2.6650377955976303,0.0,0.0,22.6418550498784,0.393634475832378,977.784278191626,16.9990312620241,2122.6054161489,36.90204130996,13.916831331735,0.764241149463757,90.8853335357271,4.99095736055613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591.0,1546.0,466.0,3246.0,93.0,560.0,0.0,41.0,1812.0,3643.0,44.0,205.0
6059001304,California,Orange County,1,3803,1101,0,0.0,0.0,0,0,0,0,0,0,13.262733232476002,68513.0,0,1,0,1,0,0,0,0,,3706.57859292626,,,1614.16831759177,,3706.57859292626,97.4645961852817,1614.16831759177,42.444604722371096,1084.96973486582,28.529311987005602,473.314390920568,12.445816221945,1934.95888355374,50.8798023548184,42.3089959658682,1.11251632831628,111.827246766537,2.94050083530206,3.89729799405904,0.102479568605286,34.0000002980232,0.894031035972212,1579.58616029564,41.535265850529704,2815.70960931852,74.03916932207531,73.0377181442454,6.63376186596235,94.752441088116,8.6060346129079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.0,1107.0,498.0,2015.0,44.0,112.0,4.0,34.0,1594.0,2879.0,78.0,98.0
6059001401,California,Orange County,1,5013,1697,0,0.0,0.0,0,0,0,0,0,0,14.2522867475005,74861.0,0,1,0,1,0,0,0,0,,2604.99615604617,,,831.807516535511,,2604.99615604617,51.9648146029557,831.807516535511,16.5930085085879,632.415113539551,12.6155019656803,337.272776293219,6.72796282252581,1700.23825063929,33.9165818998462,39.7138891332434,0.7922180158237251,122.982116949832,2.45326385297889,3.17417185381055,0.06331880817495611,24.8845359501429,0.49640007879798304,714.00318863531,14.2430318897927,1329.75367932837,26.526105711716802,41.3246177054243,2.43515720126248,120.497659716726,7.10062815066152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717.0,1283.0,649.0,3041.0,91.0,206.0,7.0,47.0,1621.0,2871.0,164.0,191.0
6059001402,California,Orange County,1,5185,1545,0,9.0,0.17357762777242045,0,0,0,0,0,0,10.4969183359014,88750.0,0,0,0,0,0,0,0,0,,479.505651842803,,,146.835338808363,,479.505651842803,9.24793928337132,146.835338808363,2.8319255315017,171.097395017743,3.2998533272467303,16.8233117721975,0.324461172077097,255.551988016814,4.92867865027607,2.31975105684251,0.0447396539410319,21.8980219736695,0.422334078566433,0.5173259973526,0.00997735771171842,3.82970598968677,0.0738612534172955,195.388860866427,3.76834832915,360.381222069263,6.950457513389841,4.70416820049286,0.304476906180768,6.53957271613763,0.423273314960364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354.0,1483.0,526.0,3172.0,40.0,260.0,11.0,49.0,1653.0,3009.0,39.0,78.0
