CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZipCode
6059001101,California,Orange County,0,0,0,0,90631.0
6059001102,California,Orange County,0,0,0,0,90631.0
6059001103,California,Orange County,0,0,0,0,90631.0
6059001201,California,Orange County,0,1,0,0,90631.0
6059001202,California,Orange County,0,1,0,0,90633.0
6059001301,California,Orange County,0,0,0,0,90631.0
6059001303,California,Orange County,0,0,0,0,90632.0
6059001304,California,Orange County,0,0,0,0,90631.0
6059001401,California,Orange County,0,0,0,0,90631.0
6059001402,California,Orange County,0,0,0,0,90631.0
6059001403,California,Orange County,0,0,0,0,92821.0
6059001404,California,Orange County,0,0,0,0,92835.0
6059001501,California,Orange County,0,0,0,0,92821.0
6059001503,California,Orange County,0,0,0,0,92835.0
6059001504,California,Orange County,0,0,0,0,92822.0
6059001505,California,Orange County,0,0,0,0,92835.0
6059001506,California,Orange County,0,0,0,0,92821.0
6059001507,California,Orange County,0,0,0,0,92821.0
6059001601,California,Orange County,0,0,0,0,
6059001602,California,Orange County,0,0,0,0,92835.0
6059001704,California,Orange County,0,0,0,0,92835.0
6059001705,California,Orange County,0,0,0,0,92835.0
6059001706,California,Orange County,0,0,0,0,92838.0
6059001707,California,Orange County,0,0,0,0,
6059001708,California,Orange County,0,0,0,0,92835.0
6059001801,California,Orange County,1,1,1,1,92833.0
6059001802,California,Orange County,0,1,0,0,92833.0
6059001901,California,Orange County,0,0,0,0,92833.0
6059001902,California,Orange County,0,0,0,0,92833.0
6059001903,California,Orange County,0,0,0,0,92833.0
6059011000,California,Orange County,0,0,0,0,92837.0
6059011101,California,Orange County,0,0,0,0,92833.0
6059011102,California,Orange County,0,0,0,0,92832.0
6059011200,California,Orange County,0,0,0,0,92835.0
6059011300,California,Orange County,0,0,0,0,92836.0
6059011401,California,Orange County,0,0,0,0,92835.0
6059011402,California,Orange County,0,0,0,0,92831.0
6059011403,California,Orange County,0,0,0,0,92834.0
6059011502,California,Orange County,0,0,0,0,92831.0
6059011503,California,Orange County,0,0,0,0,92831.0
6059011504,California,Orange County,0,1,0,0,92834.0
6059011601,California,Orange County,0,0,0,0,92832.0
6059011602,California,Orange County,0,0,0,0,92870.0
6059011707,California,Orange County,0,0,0,0,92835.0
6059011708,California,Orange County,0,0,0,0,92870.0
6059011709,California,Orange County,0,0,0,0,92870.0
6059011710,California,Orange County,0,0,0,0,92870.0
6059011711,California,Orange County,0,0,0,0,92870.0
6059011712,California,Orange County,0,0,0,0,92870.0
6059011714,California,Orange County,0,0,0,0,92870.0
6059011715,California,Orange County,0,0,0,0,92871.0
