ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
90001,6037239502,LOS ANGELES,CA,0.04910621130973082,0.009906759906759906,0.01263157894736842,0.044000482858522455
90001,6037533001,LOS ANGELES,CA,0.0768588718091396,0.051864801864801864,0.0863157894736842,0.07454128440366972
90001,6037239802,LOS ANGELES,CA,0.05654865410029909,0.03496503496503497,0.0863157894736842,0.05516658619024626
90001,6037532607,LOS ANGELES,CA,0.0,0.03146853146853147,0.004210526315789474,0.003380009657170449
90001,6037535002,LOS ANGELES,CA,0.06732976281560826,0.0780885780885781,0.05894736842105263,0.06820376629647514
90001,6037533103,LOS ANGELES,CA,0.0,0.0337995337995338,0.0,0.0035007242877836795
90001,6037532800,LOS ANGELES,CA,0.07032065103985533,0.054778554778554776,0.11789473684210526,0.0700748430709802
90001,6037239501,LOS ANGELES,CA,0.04437643458301454,0.030303030303030304,0.021052631578947368,0.042250120714630614
90001,6037239202,LOS ANGELES,CA,0.0002782221603950755,0.1048951048951049,0.018947368421052633,0.011648961854176727
90001,6037534900,LOS ANGELES,CA,0.08339709257842387,0.05244755244755245,0.04842105263157895,0.07918879768227909
90001,6037533002,LOS ANGELES,CA,0.042220212839952705,0.02505827505827506,0.010526315789473684,0.03953404152583293
90001,6037535300,LOS ANGELES,CA,0.05460109897753356,0.04836829836829837,0.02736842105263158,0.05317479478512796
90001,6037535102,LOS ANGELES,CA,0.012798219378173471,0.04603729603729604,0.016842105263157894,0.01635683244809271
90001,6037239801,LOS ANGELES,CA,0.04180287959936009,0.008741258741258742,0.04631578947368421,0.03850796716562047
90001,6037239330,LOS ANGELES,CA,0.0473673228072616,0.08916083916083917,0.029473684210526315,0.05118300338000966
90001,6037532700,LOS ANGELES,CA,0.04785421158795298,0.057692307692307696,0.05263157894736842,0.04901014002897151
90001,6037240010,LOS ANGELES,CA,0.0008346664811852264,0.030303030303030304,0.010526315789473684,0.004164654756156446
90001,6037535001,LOS ANGELES,CA,0.0712944286012381,0.041375291375291376,0.08421052631578947,0.06856591018831483
90001,6037532900,LOS ANGELES,CA,0.10628086527091883,0.08741258741258741,0.14947368421052631,0.10556494447126992
90001,6037535101,LOS ANGELES,CA,0.12673019405995686,0.08333333333333333,0.11789473684210526,0.12198213423466925
90002,6037242100,LOS ANGELES,CA,0.06691115934436045,0.051001821493624776,0.07108239095315025,0.06648771422671898
90002,6037240010,LOS ANGELES,CA,0.0569568146096849,0.0546448087431694,0.06462035541195477,0.05719595292174272
90002,6037242202,LOS ANGELES,CA,0.0577052615822169,0.03460837887067395,0.2778675282714055,0.06621240278064561
90002,6037240800,LOS ANGELES,CA,0.04326023501234937,0.0036429872495446266,0.011308562197092083,0.04040195471126712
90002,6037242300,LOS ANGELES,CA,0.09213382231868872,0.15846994535519127,0.1421647819063005,0.09677197329478973
